marca;descrição;nome_sku;link_foto;x;y;endereço
Spaten;Suada - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4d8ddb5d23978a9839693db4cea68c47.png;2775;15;data\img\Spaten_LataSleek350ml.png
Guaraná Antarctica;Suada - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/f4a4ef2ccc85f80749d9c9c5d60ee257.png;2895;15;data\img\GuaranaAntarctica_GarrafaPet1L.png
Tônica Antarctica;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e74f58068cfb3f3f314bfd97a51c65f6.png;3255;15;data\img\TonicaAntarctica_LataSleek269ml.png
Baré Guaraná;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/dc04aed6285a1ae64d7f18420c8fd83f.png;3420;15;data\img\BareGuarana_GarrafaVidro600ml.png
Skol Pilsen;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/15fa9ff0a1155a871cadc26285d23070.png;135;16;data\img\SkolPilsen_CaixadeTransporteGarrafaVidro12x300ml.png
Skol Puro Malte;Multipack - Esquerda;Shrink Lata Sleek 15 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8dcd88c7cbc180d59d618eae1cfeb487.png;220;16;data\img\SkolPuroMalte_ShrinkLataSleek15x410ml.png
Colorado Ribeirão Lager;Suada - Frontal;Lata Sleek 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8fe31e103d212ae0d67c477607c9b70d.png;1850;16;data\img\ColoradoRibeiraoLager_LataSleek410ml.png
Hoegaarden Wit Blanche;Com espuma;Acessório Tumbler 400ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0d2afe96b93221f3e9675d443ffd268d.png;2500;16;data\img\HoegaardenWitBlanche_AcessorioTumbler400ml.png
Tônica Antarctica Zero;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/066fd090fe97afc3204d96dd260df680.png;3290;16;data\img\TonicaAntarcticaZero_GarrafaPet1L.png
Antarctica Cristal;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/332327dc922a375a5a564b5b3130bf30.png;895;17;data\img\AntarcticaCristal_PackCartaoGarrafaVidro6x355ml.png
Antarctica Subzero;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8933dc1e20cd82f7539505688c8b179f.png;925;17;data\img\AntarcticaSubzero_GarrafaVidro300ml.png
Budweiser;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/424e458416b7d03d4b48800aa3e64179.png;1310;17;data\img\Budweiser_PackCartaoGarrafaVidro6x330ml.png
Budweiser;Regular - Esquerda;Caixa de Garrafa Vidro 12 x 550ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8c24bfc1caad1a80fb68141c9eba6d7f.png;1330;17;data\img\Budweiser_CaixadeGarrafaVidro12x550ml.png
Colorado Cauim 016;Suada c/ tampa;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c340a3e9d23d27342850294cdd613693.png;1940;17;data\img\ColoradoCauim016_GarrafaVidro600ml.png
Legítima do Ceará;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f13626e2939819cb7db2d318d6fdba30.png;2100;17;data\img\LegitimadoCeara_LataSleek269ml.png
Patagonia Amber Lager;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/054c21227628915b32bd6f87b89d5436.png;2315;17;data\img\PatagoniaAmberLager_GarrafaVidro355ml.png
Quilmes;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/caf4f4e95a7438b26cffa35b3d940d8f.png;2665;17;data\img\Quilmes_GarrafaVidro330ml.png
